PC1,PC2
0.7590791125,-0.1261240261
2.191283057,0.767512027
-1.332823137,-0.3130658691
-1.090183195,0.4496341478
1.152573759,-0.1114972625
2.600316023,-0.3672254021
0.7091961415,0.3261939573
0.1750934327,-1.182811821
1.142193465,-0.7208971015
0.9331241008,1.799548222
-0.5940126472,0.6984876454
1.459235505,-0.9005761138
-0.1104938387,0.4382497343
-0.9748070479,-0.4100927892
-0.5171895837,-0.5649649447
1.17031032,0.2216444905
2.91943344,-0.9254155188
1.03318307,-2.750688489
-0.003161173723,0.3825526133
-0.4265317718,-2.048042028
-0.3242445527,-0.09016180304
0.519020754,-1.851282079
0.8639990674,1.66760192
0.1562371425,0.2223503728
-1.311851881,-0.536171778
2.486088208,-1.613081366
1.963895718,-1.070494002
0.9439538697,-2.020853836
-0.01937014631,-1.898146045
-0.07916408137,-1.925843172
-1.862553065,-1.058202485
0.7065799272,-0.04456894147
0.9626985347,2.002012203
1.102243449,-1.483083934
-0.5398199408,-2.40346295
-0.2507433893,-1.265110773
-0.01336733246,-1.453782972
0.4417843064,-2.391715632
2.023538947,-0.1759770477
1.147229388,-0.7035828023
1.178627739,0.4189757153
-0.8883145574,0.1146070461
0.8038647977,-3.109270416
1.393501109,0.4761406587
0.9326649567,0.09438074449
-0.6120170369,-1.440708977
0.04875561182,0.9095754938
1.13223099,-0.7629562521
-0.09569166044,-0.4133914875
-0.8369435759,1.566565227
1.425318805,-1.636527222
-0.4696047284,2.355575287
0.5846450434,-1.126104426
-2.088370486,-1.224438366
1.207373681,0.4717139847
-1.406740634,1.791976831
-0.7366474665,0.5478532024
0.4418847376,-0.7028834977
-0.1006177002,-0.2977827791
-0.3067709361,-1.799553832
0.9718688689,0.2491733681
0.9439427746,-0.1048114919
2.290704115,-0.07089924202
0.5320039447,-1.19930676
-1.786690516,0.4168358377
1.274518503,1.200887904
-0.5376783948,-0.2431492199
1.470038524,-0.8018263575
-0.9934995866,2.063131076
-2.255353396,-1.965309573
0.3766578368,-0.6343143246
0.1407920596,0.2066949682
0.3822526077,0.6563926427
1.049444993,-1.443703334
0.2590387741,-0.1650832213
1.031289568,-0.9955514942
0.5159194122,-1.363804473
2.385139832,-0.6396093167
0.6967568881,1.016627676
-0.2177758029,-2.000697193
-0.08070413084,-2.587409261
0.2429443363,0.2193856917
0.6410549214,0.4334858908
1.274868076,-0.6721304519
-0.7996649533,0.5306531502
1.521135708,-0.4150456642
2.857637023,-0.6783127559
1.253202434,-0.5391367767
-2.165943637,-2.063343032
1.408124427,0.633495029
-1.42517761,0.3991868027
1.501125462,-0.6314026634
-1.037562252,0.4666442193
1.16381465,1.218588847
-0.8844623611,1.11512128
0.8445260057,0.1706446754
0.1917472304,-1.159639832
-1.121527728,1.040182719
0.8974615502,-0.3390223042
-0.735917275,1.249890496
0.2312209596,-0.251052084
-0.6028950842,-0.4496649202
1.185094267,-0.3777075225
-0.4223645168,0.8512833877
0.2698976132,0.4148211819
-0.3929693252,-1.617862369
-0.9632957837,-1.223541041
-1.227022956,-0.8804609688
2.706584404,1.346282131
0.7999147717,0.5860504217
0.9824475372,0.2511780371
0.1767119665,-0.717815768
-0.8492683825,-1.261184508
-1.079326867,0.4935860586
0.8259771709,-1.446088781
0.9690837015,-1.479363779
0.08054203459,-0.7866251982
-2.134626644,-0.9500967527
-1.290097913,-0.6325567908
0.9568972892,1.629640798
1.4858674,-0.688386328
0.3426872179,1.15872284
0.9216390886,0.4902516887
-1.526810202,0.4592816692
0.433693293,-0.3653567539
1.300228497,-0.9144263327
-0.6106550768,0.3641912179
2.250938031,-0.8991853018
2.33937301,0.0102653707
-1.169395287,-1.251326475
0.08483494864,-1.85852203
-0.01418360644,1.440011315
-1.502816586,0.124763674
0.3142674212,-0.5990573175
1.534630054,-0.9225698801
1.545962777,-0.1471966726
-1.992275668,-0.9934018345
0.1312377568,-0.5248056588
0.2525851527,-0.3156096259
-0.07237050747,-0.9506685392
1.093142227,-1.016411717
0.4686234067,-0.410299266
1.094290537,-1.479397401
-0.3815160011,-1.925946124
-0.4719021133,0.9553825985
2.32745615,-0.2595413129
-0.4566908059,0.6636481808
-0.08251470832,-1.005585645
0.2078709362,-0.5127771662
1.955798276,-0.4233893819
-0.618321443,-0.4459712969
1.325922192,0.1556534529
-1.829308799,-0.1453157868
0.211145063,-1.694177534
0.5083861495,-0.7285362236
1.012936627,0.3686151916
0.492926199,-1.395413315
1.243397525,0.2897574802
0.4972506561,0.08566222839
-1.313856265,-1.538340777
1.017266184,-1.175476478
-0.8466441662,-0.9798890839
0.9421259178,-0.07447797276
-0.1118134582,0.1138571718
0.3064901648,-0.4815456351
-1.491194087,0.01177200642
-1.271100104,1.362790994
0.7646261013,-1.45943497
-0.04690927641,0.7638746488
0.1583840363,-0.9599825551
-0.1192050026,-0.02062154361
0.01884803861,-1.857856918
0.158136832,-2.817856565
2.302585655,-0.08929419723
0.1518784558,1.017680858
1.253225565,-0.9404759648
0.4974414459,-2.695283926
1.272543744,-0.3336657918
-0.104739333,-0.764440637
-0.641467408,-1.124549053
1.525177516,0.1095461246
1.623878708,0.7964898496
0.1541598276,-1.365642365
-0.1444257533,2.112628261
-0.1629419538,-0.05054958791
0.1604779087,-0.4355625293
-0.4763083209,1.08499219
-0.05924209647,-1.340320008
1.089281464,-2.561018336
0.1158607783,-1.149812692
-1.000410753,-2.19192076
-1.265194438,-0.08122743962
-0.2999726262,0.8207690946
0.01356586628,-1.107625148
1.121974176,0.2235181989
0.01040564844,0.4890951687
-1.398022675,-1.633397347
-0.1256694781,1.049056627
0.283964424,1.138995926
2.512398681,-0.8284671802
-0.2619225464,-0.3727905862
3.072594169,-1.766666601
0.4888616325,-2.54313683
-1.350977818,0.6444747306
-0.4669205517,-1.828598011
1.357596077,-0.1826989887
0.6811115552,-1.012295305
0.7596690001,1.088896733
1.655987503,0.7139961639
-0.9574116106,0.2470120608
0.437703715,-0.8221372763
0.5179156849,0.2362098282
2.059982677,-0.5571972668
-0.7808405023,-0.8405853785
2.697179769,0.9713474049
-0.9345118564,0.7942487997
1.017000742,-2.096716529
0.9514412846,-0.8921029334
1.569878844,-0.6690787888
0.6472579115,-0.3887599732
1.384936832,0.1605197994
1.450831246,-0.6045016316
0.08737202516,0.1080932162
-0.7583721781,-0.01692697865
0.9446703043,0.4312519922
1.404015053,-0.2716873452
-0.4667737354,-0.9919642213
1.230509784,-0.818797668
1.231560868,-0.6803160507
1.300146531,1.226512598
1.276631721,-2.691361402
0.4142333145,0.9895718106
-0.7471289592,-0.7500240748
-0.7300807235,-2.069699656
-1.318156495,-1.104423317
0.7324121847,0.4735690776
0.3243203745,-0.1819579062
1.870422113,-0.5884289976
0.3031978833,-1.450273388
